,id,data
0,1,Kartal
1,2,Çorlu
2,3,Beşiktaş
3,4,Maltepe
4,5,Urla
5,6,Ayvacık
6,7,Fatih
7,8,Bodrum
8,9,Bayraklı
9,10,Efeler
10,11,Yenişehir
11,12,Turgutlu
12,13,Şişli
13,14,Çankaya
14,15,Bağcılar
15,16,Edremit
16,17,Merkez
17,18,Gömeç
18,19,Karaburun
19,20,Bornova
20,21,Avcılar
21,22,Nazilli
22,23,Beykoz
23,24,Güzelbahçe
24,25,Menemen
25,26,Sarıyer
26,27,Seferihisar
27,28,Burhaniye
28,29,Ayvalık
29,30,Gazimağusa
30,31,Bakırköy
31,32,Aksu
32,33,Çeşme
33,34,Kağıthane
34,35,İzmit
35,36,Elmadağ
36,37,Sultangazi
37,38,Şarköy
38,39,Erdemli
39,40,Dikili
40,41,Kadıköy
41,42,Karesi
42,43,Küçükçekmece
43,44,Datça
44,45,Kepez
45,46,Yüreğir
46,47,Döşemealtı
47,48,Ula
48,49,Altındağ
49,50,Sancaktepe
50,51,Marmaris
51,52,Büyükçekmece
52,53,Toroslar
53,54,Muratpaşa
54,55,Zeytinburnu
55,56,Şahinbey
56,57,Pozantı
57,58,Ataşehir
58,59,Odunpazarı
59,60,Köyceğiz
60,61,Gölcük
61,62,Kuşadası
62,63,Esenler
63,64,Karşıyaka
64,65,Adapazarı
65,66,Etimesgut
66,67,Pendik
67,68,Ortaca
68,69,Başakşehir
69,70,Serik
70,71,Atakum
71,72,Süleymanpaşa
72,73,İlkadım
73,74,Buca
74,75,Silivri
75,76,Fethiye
76,77,Gebze
77,78,Mudanya
78,79,Didim
79,80,Foça
80,81,Adalar
81,82,Seyhan
82,83,Gemlik
83,84,Çukurova
84,85,Alanya
85,86,Sarıçam
86,87,Çerkezköy
87,88,Kocasinan
88,89,Mezitli
89,90,Silifke
90,91,Büyükorhan
91,92,Biga
92,93,Bala
93,94,Osmangazi
94,95,Refahiye
95,96,Karabağlar
96,97,Tuzla
97,98,Lüleburgaz
98,99,Yunusemre
99,100,Nilüfer
100,101,Lefkoşa
101,102,Çınarcık
102,103,Pursaklar
103,104,Esenyurt
104,105,Menderes
105,106,Torbalı
106,107,Konak
107,108,Kınık
108,109,Şehitkamil
109,110,Bahçelievler
110,111,Demirköy
111,112,Ortahisar
112,113,Orhangazi
113,114,Çatalca
114,115,Karasu
115,116,Üsküdar
116,117,Menteşe
117,118,Kartepe
118,119,Derince
119,120,Sapanca
120,121,Konyaaltı
121,122,Bayındır
122,123,Marmaraereğlisi
123,124,Akçadağ
124,125,Yıldırım
125,126,Şehzadeler
126,127,Mengen
127,128,Akdeniz
128,129,Söke
129,130,Kocaali
130,131,Güngören
131,132,Bergama
132,133,Gaziemir
133,134,Tekkeköy
134,135,Serdivan
135,136,Çerkeş
136,137,Çekmeköy
137,138,Bandırma
138,139,Gülyalı
139,140,Bucak
140,141,Akyazı
141,142,Erdek
142,143,Keşan
143,144,Beyoğlu
144,145,Çiftlikköy
145,146,Çiğli
146,147,Karacabey
147,148,Milas
148,149,Melikgazi
149,150,Balçova
150,151,Akhisar
151,152,Sivrihisar
152,153,Kemalpaşa
153,154,Korkuteli
154,155,Yomra
155,156,Ceyhan
156,157,Darıca
157,158,Gelibolu
158,159,Bozüyük
159,160,Yenipazar
160,161,İskele
161,162,Ümraniye
162,163,Ezine
163,164,Tire
164,165,Akçakoca
165,166,Bayramiç
166,167,Eceabat
167,168,Dalaman
168,169,Artuklu
169,170,Selçuk
170,171,Tarsus
171,172,İskenderun
172,173,Elbistan
173,174,İncirliova
174,175,Gaziosmanpaşa
175,176,Eğirdir
176,177,Seydikemer
177,178,Erenler
178,179,Bayrampaşa
179,180,Narlıdere
180,181,Battalgazi
181,182,Karaköprü
182,183,Kandıra
183,184,Gölyaka
184,185,Yenice
185,186,Manavgat
186,187,19 Mayıs
187,188,Beylikdüzü
188,189,İznik
189,190,Keçiören
190,191,Onikişubat
191,192,Dilovası
192,193,Yeşilyurt
193,194,Havran
194,195,Merkezefendi
195,196,Salihli
196,197,Aliağa
197,198,Oğuzeli
198,199,Sincan
199,200,Selçuklu
200,201,Çarşamba
201,202,Akçaabat
202,203,Armutlu
203,204,Enez
204,205,Ahmetli
205,206,Saruhanlı
206,207,Kemer
207,208,Şile
208,209,Haliliye
209,210,Altıeylül
210,211,Gazipaşa
211,212,Beypazarı
212,213,Girne
213,214,Gülnar
214,215,Canik
215,216,Ardeşen
216,217,Tepebaşı
217,218,Gürsu
218,219,Aladağ
219,220,Bor
220,221,Karamürsel
221,222,Arnavutköy
222,223,Mamak
223,224,Başiskele
224,225,Sorgun
225,226,Çayırova
226,227,İpsala
227,228,Kapaklı
228,229,Karatay
229,230,Meram
230,231,Ödemiş
231,232,Yenimahalle
232,233,Kızıltepe
233,234,Pamukkale
234,235,Defne
235,236,Altınova
236,237,Çubuk
237,238,İncesu
238,239,Palandöken
239,240,Eyüpsultan
240,241,Hendek
241,242,Körfez
242,243,Sultanbeyli
243,244,Saray
244,245,Kozlu
245,246,Arifiye
246,247,Yakutiye
247,248,Talas
248,249,Gölbaşı
249,250,Kayapınar
250,251,Kadirli
251,252,Oltu
252,253,Of
253,254,Gümüşova
254,255,Mustafakemalpaşa
255,256,Ergene
256,257,Ereğli
257,258,Fatsa
258,259,Polatlı
259,260,Muratlı
260,261,Altınordu
261,262,İnegöl
262,263,Kaynaşlı
263,264,Antakya
264,265,Merzifon
265,266,Pamukova
266,267,Aziziye
267,268,Lapseki
268,269,Akşehir
269,270,Dulkadiroğlu
270,271,Kestel
271,272,Güney
272,273,Vakfıkebir
273,274,Yahşihan
274,275,Babaeski
275,276,Kahta
276,277,Atabey
277,278,Araklı
278,279,Cumayeri
279,280,Yıldızeli
280,281,İpekyolu
281,282,Ferizli
282,283,Termal
283,284,Ermenek
284,285,Karapürçek
285,286,Tuşba
286,287,Ürgüp
287,288,Bafra
288,289,Gönen
289,290,Alaşehir
290,291,Cide
291,292,Bulancak
292,293,Sürmene
293,294,İhsaniye
294,295,Uzunköprü
295,296,Kozan
296,297,Ünye
297,298,Eşme
298,299,Şuhut
299,300,Develi
300,301,Kavak
301,302,Perşembe
302,303,Ağlasun
303,304,Germencik
304,305,Görele
305,306,Arsin
306,307,Tirebolu
307,308,Taşköprü
308,309,Kırkağaç
309,310,Beşikdüzü
310,311,Devrek
311,312,Pazar
312,313,Patnos
313,314,Çamardı
314,315,Malkara
315,316,Eyyübiye
316,317,Geyve
317,318,Kaman
318,319,Yalvaç
319,320,Güce
320,321,Arhavi
321,322,Susurluk
322,323,Havsa
323,324,Çayeli
324,325,Arsuz
325,326,Dörtyol
326,327,Kırıkhan
327,328,Belen
328,329,Çameli
329,330,Kaş
330,331,Finike
331,332,Bozcaada
332,333,Bahçe
333,334,Kumluca
334,335,Güzelyurt
335,336,Çine
336,337,Yumurtalık
337,338,Bozyazı
338,339,Yatağan
339,340,Anamur
340,341,Kale
341,342,Beyağaç
342,343,Marmara
343,344,Kuyucak
344,345,Gökçeada
345,346,İmamoğlu
346,347,Sultanhisar
347,348,Karataş
348,349,Ulukışla
349,350,Beşiri
350,351,Sarıkaya
351,352,Çelikhan
352,353,Beylikova
353,354,Hacılar
354,355,Akyurt
355,356,Kahramankazan
356,357,Ayaş
357,358,Çukurca
358,359,Bahşili
359,360,Çan
360,361,Acıpayam
361,362,Zile
362,363,Toprakkale
363,364,Emirdağ
364,365,Bağlar
365,366,Nizip
366,367,Yeşilhisar
367,368,Söğütlü
368,369,Kelkit
369,370,Tatvan
370,371,Erzin
371,372,Ilgın
372,373,Sivrice
373,374,Amasra
374,375,Yerköy
375,376,Cizre
376,377,Gerede
377,378,Çilimli
378,379,Kızılcahamam
379,380,Emet
380,381,Sandıklı
381,382,Günyüzü
382,383,Devrekani
383,384,Osmancık
384,385,Osmaneli
385,386,Avanos
386,387,Alaplı
387,388,Seyitgazi
388,389,İnönü
389,390,Kaynarca
390,391,Taraklı
391,392,Terme
392,393,Şiran
393,394,Eleşkirt
394,395,Safranbolu
395,396,Abana
396,397,Havza
397,398,Besni
398,399,Bolvadin
399,400,Akdağmadeni
400,401,Midyat
401,402,Alaca
402,403,Hopa
403,404,Buldan
404,405,Doğanşehir
405,406,Sarayköy
406,407,Daday
407,408,Bigadiç
408,409,Bünyan
409,410,Gülşehir
410,411,İnebolu
411,412,İslahiye
412,413,Viranşehir
