,id,data
0,1,Kordonboyu
1,2,Reşadiye
2,3,Levent
3,4,Altayçeşme
4,5,M. Fevzi Çakmak
5,6,Küçükkuyu Bld. (Mıhlı)
6,7,Sarıdemir
7,8,Ortakentyahşi
8,9,Adalet
9,10,Ata
10,11,Akkent
11,12,Şehitler
12,13,Çamlıçay
13,14,İnönü
14,15,Karataş
15,16,Göztepe
16,17,Afetevler
17,18,Akçay
18,19,Çavuşoğlu
19,20,Bitez
20,21,Çınarlı Köyü
21,22,Karaağaç
22,23,İskele
23,24,Yeşilova
24,25,Cihangir
25,26,Yokuşbaşı
26,27,Ocaklı
27,28,Riva
28,29,Yakaköy
29,30,Yelki
30,31,Yıldız
31,32,Güvendik
32,33,9 Eylül
33,34,Zeytinalanı
34,35,Kahramandere
35,36,Maslak
36,37,Düzce
37,38,Ören
38,39,Ali Çetinkaya
39,40,Mecidiyeköy
40,41,Siteler
41,42,Barbaros
42,43,Yeni Boğaziçi Köyü
43,44,Ataköy 7-8-9-10. Kısım
44,45,Nisbetiye
45,46,Çiftlikköy
46,47,Kızılırmak
47,48,Kardeşköy
48,49,Kemerağzı
49,50,Bahçelievler
50,51,Dalyan
51,52,İkizçay
52,53,Çeliktepe
53,54,Sakarya
54,55,Harbiye
55,56,Yahyakaptan
56,57,Levazım
57,58,Seyitcemali
58,59,Mahkeme
59,60,50. Yıl
60,61,Cumhuriyet
61,62,Kargıpınarı
62,63,Alaçatı
63,64,Gayrettepe
64,65,Vişnezade
65,66,Hasanoğlan Havuzbaşı
66,67,Camikebir
67,68,Salimbey
68,69,Yalı
69,70,Dikilitaş
70,71,Cevizli
71,72,19 Mayıs
72,73,Ayrancı
73,74,Turabiye
74,75,Naipli
75,76,Denizli
76,77,Atakent
77,78,İstinye
78,79,İlkadım
79,80,Dirmil
80,81,Kuşçular
81,82,Huzur
82,83,Mesudiye
83,84,Çobançeşme
84,85,Gümüşlük
85,86,Gümüşpınar
86,87,Varsak Karşıyaka
87,88,Hıdırlık
88,89,Akdeniz
89,90,Altınkale
90,91,Pelitköy
91,92,İçmeler
92,93,Akyaka
93,94,Anafartalar
94,95,Ataköy 2-5-6. Kısım
95,96,Kemal Türkler
96,97,Tepe
97,98,Hacı İsa
98,99,Sinanpaşa
99,100,Ulamış
100,101,Halkkent
101,102,Muratpaşa
102,103,Sultan Selim
103,104,Kazlıçeşme
